Wikidata_ID,Name,Latitude,Longitude,WKT,Sitelinks,Primary_Class,All_Types,inception,official_opening,height_m,architectural_style,architect,founded_by,creator,material_used,named_after,heritage_designation,image,description,enwiki_title,enwiki_url,core_zone,coord_group,type_tag
Q12842223,Molla Ahmad Mosque,40.367591666,49.835588888,Point(49.835588888 40.367591666),14,mosque,mosque,1300-01-01T00:00:00Z,,,"Islamic architecture, Shirvan-Absheron architectural school",Mahmud ibn Sa'd,,,,,part of UNESCO World Heritage Site,Molla Ahmed Mosque (Ichery Sheher).JPG,"A mosque and historical architectural monument located in Baku, Azerbaijan.",Molla Ahmad Mosque,https://en.wikipedia.org/wiki/Molla_Ahmad_Mosque,True,,poi
Q12841258,Keygubad Mosque,40.366166944,49.833468888,Point(49.833468888 40.366166944),14,mosque,mosque,,,,"Islamic architecture, Shirvan-Absheron architectural school",,Kayqubad I of Shirvan,,,,,"Palacio de los Shirvanshah, Baku, Azerbaiyán, 2016-09-28, DD 24.jpg",historical mosque of the 14th century in Azerbaijan,Keygubad Mosque,https://en.wikipedia.org/wiki/Keygubad_Mosque,True,,poi
Q12840111,Hajji Bani mosque,40.366944444,49.833611111,Point(49.833611111 40.366944444),14,mosque,mosque,1600-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Hacı Bani məscidi 2016.jpg,"A mosque and historical architectural monument located in Baku, Azerbaijan.",Haji Bani Mosque,https://en.wikipedia.org/wiki/Haji_Bani_Mosque,True,,poi
Q2671033,Alley of Honor,40.361944444,49.820833333,Point(49.820833333 40.361944444),14,architectural structure,cemetery,1948-08-27T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,Fexri Xiyaban guller.jpg,cemetery in Baku,Alley of Honor,https://en.wikipedia.org/wiki/Alley_of_Honor,True,,poi
Q4155891,Palace of Happiness,40.368554,49.831664,Point(49.831664 40.368554),14,building,building,1912-01-01T00:00:00Z,,,"French Gothic architecture, Gothic Revival",Józef Plośko,Murtuza Mukhtarov,,,,cultural heritage monument in Azerbaijan,Palace of Happiness.JPG,"building in Istiglaliyyat St. , Azerbaijan",Palace of Happiness,https://en.wikipedia.org/wiki/Palace_of_Happiness,True,,poi
Q3232906,Azadliq Square,40.3725,49.85333333,Point(49.85333333 40.3725),14,square,square,,,,,,,,,,,Azadlıq meydanı - panoramio.jpg,"square in Baku, Azerbaijan","Azadliq Square, Baku","https://en.wikipedia.org/wiki/Azadliq_Square,_Baku",True,,poi
Q4242006,Round Tower (Mardakan),40.495726943,50.147156797,Point(50.147156797 40.495726943),14,architectural structure,castle,1232-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,Abdul Majid ibn Masud,,,,,cultural heritage monument in Azerbaijan,Mardakankrugbashnya2.JPG,historical and architectural monument in the Khazar district in Baku,Round Mardakan Fortress,https://en.wikipedia.org/wiki/Round_Mardakan_Fortress,False,,poi
Q2634267,Heydar Aliyev Sports and Exhibition Complex,40.39166667,49.825,Point(49.825 40.39166667),14,architectural structure,sports venue,1977-01-01T00:00:00Z,1990-01-01T00:00:00Z,,Art Nouveau architecture,"Tahir Abdullayev, Talaat Khanlarov, Yuzef Qədimov",,,,Heydar Aliyev,,Heydar Aliyev Sports and Exhibition Complex 1.jpg,sports venue,Heydar Aliyev Sports and Concert Complex,https://en.wikipedia.org/wiki/Heydar_Aliyev_Sports_and_Concert_Complex,True,,poi
Q16642128,Baku Aquatics Centre,40.3349,49.835,Point(49.835 40.3349),14,architectural structure,swimming pool,,2015-04-20T00:00:00Z,,,,,,,,,"Baku Aquatic Palace, Azerbaijan, Caspian Sea shore, Boulevard.jpg","sports venue in Baku, Azerbaijan",Aquatic Palace,https://en.wikipedia.org/wiki/Aquatic_Palace,False,,poi
Q2671722,Azerbaijan State Theatre of Young Spectators,40.37399,49.84512,Point(49.84512 40.37399),14,building,theatre building,1928-01-01T00:00:00Z,,,,,,,,,,Azerbaijan State Theatre of Young Spectators 6.jpg,theater in Baku,Azerbaijan State Theatre of Young Spectators,https://en.wikipedia.org/wiki/Azerbaijan_State_Theatre_of_Young_Spectators,True,,poi
Q3025580,Cəfər Cabbarlı,40.37944444,49.84888889,Point(49.84888889 40.37944444),14,building,"metro station, underground station",1993-01-01T00:00:00Z,1993-10-27T00:00:00Z,,,,,,,,,Azerbaijani flag in Baku during the conflict in Karabakh 29.jpg,"metro station in Baku, Azerbaijan",Jafar Jabbarly (Baku Metro),https://en.wikipedia.org/wiki/Jafar_Jabbarly_(Baku_Metro),True,,transit
Q3025513,Nəsimi,40.424675,49.824297222,Point(49.824297222 40.424675),14,building,"metro station, underground station",2008-01-01T00:00:00Z,2008-10-09T00:00:00Z,,,,,,,,,Nəsimi 2017.10.29.jpg,"metro station in Baku, Azerbaijan",Nasimi (Baku Metro),https://en.wikipedia.org/wiki/Nasimi_(Baku_Metro),True,,transit
Q3025490,Memar Ajami,40.41058,49.81411,Point(49.81411 40.41058),14,building,"metro station, underground station",1985-01-01T00:00:00Z,1985-12-31T00:00:00Z,,,Talaat Khanlarov,,,,Ajami Nakhchivani,,Memar Ajami station 2.jpg,"metro station in Baku, Azerbaijan",Memar Ajami (Baku Metro),https://en.wikipedia.org/wiki/Memar_Ajami_(Baku_Metro),True,,transit
Q3025472,20 Yanvar,40.404077777,49.807569444,Point(49.807569444 40.404077777),14,building,"metro station, underground station",1985-01-01T00:00:00Z,1985-12-31T00:00:00Z,,,,,,,,,20 yanvar metrostansiyası 2016.03.15.jpg,"metro station in Baku, Azerbaijan",20 Yanvar (Baku Metro),https://en.wikipedia.org/wiki/20_Yanvar_(Baku_Metro),True,,transit
Q3024716,Koroğlu,40.420916666,49.918222222,Point(49.918222222 40.420916666),14,building,"metro station, underground station",1972-01-01T00:00:00Z,1972-11-06T00:00:00Z,,,Hasan Majidov,,,,,,Koroğlu metrostansiyası.JPG,"metro station in Baku, Azerbaijan",Koroğlu (Baku Metro),https://en.wikipedia.org/wiki/Koro%C4%9Flu_(Baku_Metro),False,,transit
Q2947557,SOCAR Tower,40.405,49.882777777,Point(49.882777777 40.405),14,building,tower block,2016-01-01T00:00:00Z,,,high-tech architecture,,,,,,,,building in Azerbaijan,SOCAR Tower,https://en.wikipedia.org/wiki/SOCAR_Tower,True,,poi
Q12842275,Multani Caravanserai,40.3667809,49.8372999,Point(49.8372999 40.3667809),14,building,caravanserai,,,,,,,,,,cultural heritage monument in Azerbaijan,Multani Caravanserai and Bukhara Caravanserai.JPG,"A caravanserai and historical architectural monument located in Baku, Azerbaijan.",Multani Caravanserai,https://en.wikipedia.org/wiki/Multani_Caravanserai,True,91.0,poi
Q2511638,Holy Myrrhbearers Cathedral,40.389722222,49.820833333,Point(49.820833333 40.389722222),14,cathedral,Eastern Orthodox cathedral,1901-01-01T00:00:00Z,,,Russian Revival architecture,Fyodor Verzhbitsky,Ministry of War of the Russian Empire,,brick,,cultural heritage monument in Azerbaijan,Müqəddəs Mürdaşıyan Zənənlər Kafedralı.jpg,church in Azerbaijan,Holy Myrrhbearers Cathedral,https://en.wikipedia.org/wiki/Holy_Myrrhbearers_Cathedral,True,,poi
Q20570921,Imam Hussein Mosque,40.36940762,49.826308094,Point(49.826308094 40.36940762),13,mosque,mosque,1896-01-01T00:00:00Z,,,,Adolf Eichler,,,,,cultural heritage monument in Azerbaijan,Imam Hussein Mosque 3.jpg,"mosque in Baku, Azerbaijan",Imam Hussein Mosque (Baku),https://en.wikipedia.org/wiki/Imam_Hussein_Mosque_(Baku),True,,poi
Q16415094,Jinn Mosque,40.365833333,49.8325,Point(49.8325 40.365833333),13,mosque,mosque,1375-01-01T00:00:00Z,,,"Islamic architecture, Shirvan-Absheron architectural school",,,,,,cultural heritage monument in Azerbaijan,Cin məscidinin daxili (1).JPG,"A mosque and historical architectural monument located in Baku, Azerbaijan.",Jinn Mosque,https://en.wikipedia.org/wiki/Jinn_Mosque,True,,poi
Q13668719,Mosque of the Martyrs,40.358333333,49.827777777,Point(49.827777777 40.358333333),13,mosque,mosque,1990-01-01T00:00:00Z,,,Ottoman architecture,,Baku,,,,,Martyrs' Mosque in Baku 01.jpg,mosque in Baku,Mosque of the Martyrs,https://en.wikipedia.org/wiki/Mosque_of_the_Martyrs,True,,poi
Q943140,Quadrangular castle,40.492097318,50.140756459,Point(50.140756459 40.492097318),13,architectural structure,castle,1225-01-01T00:00:00Z,,22,Shirvan-Absheron architectural school,,Akhsitan I ibn Minuchihr III,,,,cultural heritage monument in Azerbaijan,Dördkünc Mərdəkan qalası 2024 (3).jpg,castle in Azerbaijan,Quadrangular Mardakan Fortress,https://en.wikipedia.org/wiki/Quadrangular_Mardakan_Fortress,False,,poi
Q18126330,Azersun Arena,40.4212,49.9968,Point(49.9968 40.4212),13,building,stadium,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z,,,,,,,,,AzersunArena.jpg,football stadium in Yeni Suraxani,Azersun Arena,https://en.wikipedia.org/wiki/Azersun_Arena,False,,poi
Q16413570,8 November (Baku Metro),40.401111111,49.821666666,Point(49.821666666 40.401111111),13,building,"metro station, underground station",,2021-05-29T00:00:00Z,,,,,,,Victory Day,,"""8 november"" station.png","metro station in Baku, Azerbaijan",8 Noyabr (Baku Metro),https://en.wikipedia.org/wiki/8_Noyabr_(Baku_Metro),True,,transit
Q12836192,Avtovaghzal,40.421388888,49.794722222,Point(49.794722222 40.421388888),13,building,"metro station, underground station",,2016-04-19T00:00:00Z,,,,,,,,,Avtovağzal stansiyası 1.jpg,"metro station in Baku, Azerbaijan",Avtovağzal (Baku Metro),https://en.wikipedia.org/wiki/Avtova%C4%9Fzal_(Baku_Metro),True,,transit
Q19799928,Takiya (Ichery Sheher),40.366548,49.836396,Point(49.836396 40.366548),13,building,Sufi lodge,1201-01-01T00:00:00Z,,,"Islamic architecture, Shirvan-Absheron architectural school",,,,,,cultural heritage monument in Azerbaijan,İçərişəhərdə təkyə.JPG,"A historical architectural monument located in Baku, Azerbaijan.","Takya (Old City, Baku)","https://en.wikipedia.org/wiki/Takya_(Old_City,_Baku)",True,,poi
Q2790637,Monument to Nizami Ganjavi in Baku,40.369586111,49.835197222,Point(49.835197222 40.369586111),13,monument,monumental sculpture,,,,,"Mikayil Useynov, Sadig Dadashov",,Fuad Abdurahmanov,bronze,,,Nizami Gəncəvinin Bakıdakı heykəli.JPG,"monument in Baku, Azerbaijan",Monument to Nizami Ganjavi in Baku,https://en.wikipedia.org/wiki/Monument_to_Nizami_Ganjavi_in_Baku,True,,poi
Q4306396,Independence Museum of Azerbaijan,40.368265,49.833091,Point(49.833091 40.368265),13,museum,museum,1919-12-07T00:00:00Z,,,,,,,,,,Azərbaycan İstiqlal Muzeyi.jpg,"museum in Baku, Azerbaijan",Independence Museum of Azerbaijan,https://en.wikipedia.org/wiki/Independence_Museum_of_Azerbaijan,True,,poi
Q4058262,Azerbaijan State Museum of Musical Culture,40.369611,49.84251,Point(49.84251 40.369611),13,museum,museum,1967-01-01T00:00:00Z,1967-01-01T00:00:00Z,,,,,,,,,Azərbaycan Musiqi Mədəniyyəti Dövlət Muzeyi.jpg,state museum in Azerbaijan,Azerbaijan State Museum of Musical Culture,https://en.wikipedia.org/wiki/Azerbaijan_State_Museum_of_Musical_Culture,True,,poi
Q2559447,International Mugam Center of Azerbaijan,40.360833,49.835,Point(49.835 40.360833),13,architectural structure,architectural structure,2008-12-29T00:00:00Z,2008-12-27T00:00:00Z,,"Art Nouveau architecture, modern architecture",,,,,,,,Music center aiming to preserve mugham genre,International Mugham Center of Azerbaijan,https://en.wikipedia.org/wiki/International_Mugham_Center_of_Azerbaijan,True,,poi
Q16417538,Sayyid Yahya Murtuza Mosque,40.364722222,49.835277777,Point(49.835277777 40.364722222),12,mosque,mosque,1700-01-01T00:00:00Z,,,"Islamic architecture, Shirvan-Absheron architectural school",,,,,,cultural heritage monument in Azerbaijan,Seyid Murtuza Yəhya Məscidi 2016.jpg,"A mosque and historical architectural monument located in Baku, Azerbaijan.",Sayyid Yahya Murtuza Mosque,https://en.wikipedia.org/wiki/Sayyid_Yahya_Murtuza_Mosque,True,,poi
Q16417049,Haji Sultan Ali Mosque,40.378809,49.829594,Point(49.829594 40.378809),12,mosque,mosque,1904-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Haji Sultan Ali Mosque in Baku.jpg,"mosque in Baku, Azerbaijan",Haji Sultanali Mosque,https://en.wikipedia.org/wiki/Haji_Sultanali_Mosque,True,,poi
Q12839813,Gileyli Mosque,40.364801,49.832868,Point(49.832868 40.364801),12,mosque,mosque,1309-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Gileyli məscidi (3).JPG,"A mosque and historical architectural monument located in Baku, Azerbaijan.",Gileyli Mosque,https://en.wikipedia.org/wiki/Gileyli_Mosque,True,,poi
Q2113686,JW Marriott Absheron Baku Hotel,40.374346,49.856247,Point(49.856247 40.374346),12,building,building,1985-01-01T00:00:00Z,1985-01-01T00:00:00Z,,,,,,,,,Luke Warm - panoramio.jpg,"building in Baku, Azerbaijan",JW Marriott Absheron Baku Hotel,https://en.wikipedia.org/wiki/JW_Marriott_Absheron_Baku_Hotel,True,,poi
Q4403409,Sabayil Castle,40.353,49.840722222,Point(49.840722222 40.353),12,architectural structure,castle,1234-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,Zeynaddin Sirvani,Fariburz III,,,,cultural heritage monument in Azerbaijan,Sabayil Fortress.jpg,submerged fortress in Azerbaijan,Sabayil Castle,https://en.wikipedia.org/wiki/Sabayil_Castle,True,,poi
Q4655240,AZAL Arena,40.4968,50.1964,Point(50.1964 40.4968),12,building,stadium,2011-04-10T00:00:00Z,2011-04-10T00:00:00Z,,,,,,,,,AZAL Arena1.jpg,"football stadium in Shuvelan, Baku, Azerbaijan",AZAL Arena,https://en.wikipedia.org/wiki/AZAL_Arena,False,,poi
Q4505131,Church of the Holy Virgin,40.366177,49.836268,Point(49.836268 40.366177),12,building,"church building, destroyed building or structure",1797-01-01T00:00:00Z,,,Armenian architecture,,,,,,,Views of Ichery Sheher 1987.jpg,"church building in Baku, Azerbaijan",Church of the Holy Virgin (Baku),https://en.wikipedia.org/wiki/Church_of_the_Holy_Virgin_(Baku),True,,poi
Q2503332,St. Gregory the Illuminator's Church,40.371623,49.836466,Point(49.836466 40.371623),12,building,church building,1887-01-01T00:00:00Z,,,Armenian architecture,Karl Gustav Hippius,,,,Gregory the Illuminator,cultural heritage monument in Azerbaijan,Armenian church of Saint Gregory the Illuminator in Baku 5.JPG,"church building in Baku, Azerbaijan","Armenian Church, Baku","https://en.wikipedia.org/wiki/Armenian_Church,_Baku",True,,poi
Q12836435,Azerbaijan State Theatre of Musical Comedy,40.3686,49.8403,Point(49.8403 40.3686),12,building,theatre building,1934-01-01T00:00:00Z,,,,,,,,,,Azerbaijan State Theatre of Musical Comedy building façade Neftçilər avenue.jpg,Musical theatre in Baku,Azerbaijan State Academic Theatre of Musical Comedy,https://en.wikipedia.org/wiki/Azerbaijan_State_Academic_Theatre_of_Musical_Comedy,True,,poi
Q7294887,Rashid Behbudov State Song Theatre,40.3747117,49.8470613,Point(49.8470613 40.3747117),12,building,theatre building,1968-01-01T00:00:00Z,1968-01-01T00:00:00Z,,,,,,,Rashid Behbudov,cultural heritage monument in Azerbaijan,Rəşid Behbudov adına Mahnı Teatrı.jpg,theatre in Azerbaijan,Azerbaijan State Song Theatre,https://en.wikipedia.org/wiki/Azerbaijan_State_Song_Theatre,True,,poi
Q6869733,Baku fortress,40.36769,49.833285,Point(49.833285 40.36769),12,architectural structure,fortress,1101-01-01T00:00:00Z,,,,,Shirvanshah Manuchehr III,,,,,İçərişəhər - poster.jpg,largest of the Absheron fortresses,Baku Fortress Wall,https://en.wikipedia.org/wiki/Baku_Fortress_Wall,True,,poi
Q25536644,Bukhara Caravanserai,40.3667809,49.8372999,Point(49.8372999 40.3667809),12,building,"caravanserai, restaurant",1500-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Bukhara Caravansaray.jpg,"A caravanserai and historical architectural monument located in Baku, Azerbaijan.",Bukhara Caravanserai,https://en.wikipedia.org/wiki/Bukhara_Caravanserai,True,91.0,poi
Q16414359,The Declaration of Independence monument,40.36817,49.832698,Point(49.832698 40.36817),12,monument,monument,,,,,,,,granite,,,"ƏLyazmalar İnstitutu və İqtisad Universiteti binalarının arasında, Bakı qala divarları qarşısında yerləşən AXC abidəsi.jpg","monument in Baku, Azerbaijan",The Declaration of Independence monument (Baku),https://en.wikipedia.org/wiki/The_Declaration_of_Independence_monument_(Baku),True,,poi
Q16416097,Museum of Archaeology and Ethnography,40.36777778,49.83666667,Point(49.83666667 40.36777778),12,museum,museum,1976-01-01T00:00:00Z,,,Classicism,,,,,,,"Yaşayış evi, Böyük Qala küç. 42.jpg",museum in Azerbaijan,Museum of Archaeology and Ethnography,https://en.wikipedia.org/wiki/Museum_of_Archaeology_and_Ethnography,True,,poi
Q12838332,House-Museum of Jalil Mammadguluzadeh (Baku),40.370482,49.828772,Point(49.828772 40.370482),12,museum,museum,1978-01-01T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,Cəlil Məmmədquluzadənin Ev Muzeyi - 2.jpg,museum in Azerbaijan,House-Museum of Jalil Mammadguluzadeh (Baku),https://en.wikipedia.org/wiki/House-Museum_of_Jalil_Mammadguluzadeh_(Baku),True,,poi
Q12836447,Azerbaijan Museum of Geology,40.3730044,49.8201766,Point(49.8201766 40.3730044),12,museum,"architectural structure, museum",1982-01-01T00:00:00Z,1982-01-01T00:00:00Z,,,,,,,,,,museum in Azerbaijan,Azerbaijan Museum of Geology,https://en.wikipedia.org/wiki/Azerbaijan_Museum_of_Geology,True,,poi
Q19798499,Mirza Ahmed Mosque,40.3674,49.8358,Point(49.8358 40.3674),11,mosque,mosque,1345-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Baku MirzaAhmedMosque 004 7910.jpg,"mosque in Baku, Azerbaijan",Mirza Ahmed Mosque,https://en.wikipedia.org/wiki/Mirza_Ahmed_Mosque,True,,poi
Q16417010,Haji Javad mosque,40.369166666,49.825833333,Point(49.825833333 40.369166666),11,mosque,mosque,2018-01-01T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,Haji Javad Mosque 2018.jpg,mosque in Azerbaijan,Haji Javad Mosque,https://en.wikipedia.org/wiki/Haji_Javad_Mosque,True,,poi
Q16413883,Nizameddin Mosque,40.419998,49.986813,Point(49.986813 40.419998),11,mosque,mosque,1400-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,,Amirjan NizameddinMosque 005 0148.jpg,"mosque in Baku, Azerbaijan",Nizamaddin Mosque,https://en.wikipedia.org/wiki/Nizamaddin_Mosque,False,,poi
Q12847518,Khanlar Mosque,40.36812,49.83559,Point(49.83559 40.36812),11,mosque,mosque,1893-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,Meshadi Mirza Qafar Ismayilov,,,,,cultural heritage monument in Azerbaijan,Xanlar məscidi (4).jpg,"Mosque in Baku, Azerbaijan",Khanlar Mosque,https://en.wikipedia.org/wiki/Khanlar_Mosque,True,,poi
Q12837306,Baku Khans' Palace,40.3681,49.8367,Point(49.8367 40.3681),11,building,building,,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Bakı xan sarayının əsas girişinin Xan bağı tərəfdən görünüşü.jpg,"A historical architectural monument located in Baku, Azerbaijan.",Baku Khans' Palace,https://en.wikipedia.org/wiki/Baku_Khans%27_Palace,True,,poi
Q12837474,Bazar Square,40.3663585,49.836691,Point(49.836691 40.3663585),11,building,building,,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Pagan temple in Ichery Sheher.JPG,"A historical architectural monument located in Baku, Azerbaijan.",Bazar Square (Old City),https://en.wikipedia.org/wiki/Bazar_Square_(Old_City),True,,poi
Q16414684,Shirvanshah's Palace Mausoleum,40.366227777,49.833469444,Point(49.833469444 40.366227777),11,monument,"historic site, mausoleum",,,,Shirvan-Absheron architectural school,,,,,,,"Palacio de los Shirvanshah, Baku, Azerbaiyán, 2016-09-26, DD 162-164 HDR.jpg",Historical monument of the XV century in the Republic of Azerbaijan,Shirvanshahs' Palace Mausoleum,https://en.wikipedia.org/wiki/Shirvanshahs%27_Palace_Mausoleum,True,126.0,poi
Q4075909,Empress Alexandra Russian Muslim Boarding School for Girls,40.39528,49.88222,Point(49.88222 40.39528),11,building,school building,1901-01-01T00:00:00Z,,,,,,,,,,Qızlar seminariyası.jpg,"girls' school in Baku, Russian empire",Empress Alexandra Russian Muslim Boarding School for Girls,https://en.wikipedia.org/wiki/Empress_Alexandra_Russian_Muslim_Boarding_School_for_Girls,True,,poi
Q12841927,National Gymnastics Arena,40.4192,49.9166,Point(49.9166 40.4192),11,architectural structure,sports venue,2014-04-01T00:00:00Z,2014-04-16T00:00:00Z,,,Broadway Malyan,,,,,,,sporting venue,National Gymnastics Arena,https://en.wikipedia.org/wiki/National_Gymnastics_Arena,False,,poi
Q4135908,"Church of Michael the Archangel, Baku",40.373611111,49.831944444,Point(49.831944444 40.373611111),11,building,"Eastern Orthodox church building, church building",1850-01-01T00:00:00Z,,,,,,,brick,Michael,cultural heritage monument in Azerbaijan,Orthodox church of the Saint Michael in Baku.jpg,"church in Azerbaijan, Azerbaijan","Church of Michael the Archangel, Baku","https://en.wikipedia.org/wiki/Church_of_Michael_the_Archangel,_Baku",True,,poi
Q2029345,Church of the Saviour,40.377004,49.847784,Point(49.847784 40.377004),11,building,church building,1896-01-01T00:00:00Z,,,Gothic Revival,Adolf Eichler,,,,,cultural heritage monument in Azerbaijan,Xilaskar Kilsəsi.JPG,"building in Baku, Azerbaijan","Church of the Saviour, Baku","https://en.wikipedia.org/wiki/Church_of_the_Saviour,_Baku",True,,poi
Q943153,Nardaran Fortress,40.561388888,50.004813888,Point(50.004813888 40.561388888),11,architectural structure,fortress,1301-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,Mahmud ibn Sa'd,,,,,cultural heritage monument in Azerbaijan,Castle of Nardaran 1.jpg,geographical object,Nardaran Fortress,https://en.wikipedia.org/wiki/Nardaran_Fortress,False,,poi
Q14814854,Agha Mikayil Bath,40.36444444,49.83277778,Point(49.83277778 40.36444444),11,building,hammam,,,,,,,,,,cultural heritage monument in Azerbaijan,حمام أغا ميكاييل.jpg,"Bath in Old City, Baku, Azerbaijan",Agha Mikayil Bath,https://en.wikipedia.org/wiki/Agha_Mikayil_Bath,True,,poi
Q31301023,Baku House-museum of Uzeyir Hajibeyov,40.377480667,49.829918156,Point(49.829918156 40.377480667),11,museum,biographical museum,1975-01-01T00:00:00Z,1975-11-20T00:00:00Z,,,,,,,,cultural heritage monument in Azerbaijan,House-museum of Uzeyir Hajibeyov.jpg,"museum in Baku, Azerbaijan",Uzeyir Hajibeyov's House Museum,https://en.wikipedia.org/wiki/Uzeyir_Hajibeyov%27s_House_Museum,True,,poi
Q38126519,Azerbaijan Medicine Museum,40.398611111,49.881944444,Point(49.881944444 40.398611111),11,museum,museum,1984-01-01T00:00:00Z,1986-01-29T00:00:00Z,,,,,,,,,Tebabet Muzey2019.jpg,"Medical museum in Baku, Azerbaijan",Azerbaijan Medicine Museum,https://en.wikipedia.org/wiki/Azerbaijan_Medicine_Museum,True,,poi
Q16416482,Azerbaijan State Theatre Museum,40.369626,49.842286,Point(49.842286 40.369626),11,museum,museum,1934-01-01T00:00:00Z,1934-11-24T00:00:00Z,,,,,,,Jafar Jabbarly,,Azərbaycan Dövlət Teatr Muzeyi.jpg,"Theatre museum in Baku, Azerbaijan",Azerbaijan State Theatre Museum,https://en.wikipedia.org/wiki/Azerbaijan_State_Theatre_Museum,True,,poi
Q30202728,Azerbaijan State Agriculture Museum,40.4292,49.8436,Point(49.8436 40.4292),11,museum,museum,1924-01-01T00:00:00Z,,,,,,,,,,Muzeyin görünüş.jpg,"Museum in Baku, Azerbaijan",Azerbaijan State Agriculture Museum,https://en.wikipedia.org/wiki/Azerbaijan_State_Agriculture_Museum,True,,poi
Q12836431,Azerbaijan State Museum of History of Religion,40.369429,49.842494,Point(49.842494 40.369429),11,museum,museum,1990-01-01T00:00:00Z,,,,,,,,,,,"religious museum in Baku, Azerbaijan",Azerbaijan State Museum of History of Religion,https://en.wikipedia.org/wiki/Azerbaijan_State_Museum_of_History_of_Religion,True,,poi
Q12842315,Murtuza Mukhtarov mosque,40.421998,49.985341,Point(49.985341 40.421998),10,mosque,mosque,1901-01-01T00:00:00Z,,,Gothic art,Zivar bay Ahmadbayov,,,,,,Amirjan MurtuzaMukhtarovMosque 005 0063.jpg,mosque in Baku,Murtuza Mukhtarov Mosque,https://en.wikipedia.org/wiki/Murtuza_Mukhtarov_Mosque,False,,poi
Q25543111,Baku Tower,40.412777777,49.898333333,Point(49.898333333 40.412777777),10,building,building,,,906.5,,,,,,,,,Skyscraper in Baku,Baku Tower,https://en.wikipedia.org/wiki/Baku_Tower,True,,poi
Q4473340,Nizami Street,40.372944,49.840395,Point(49.840395 40.372944),10,architectural structure,street,,,,,,,,,,,Nizami street historical buildings.JPG,"street in Baku, Azerbaijan",Nizami Street,https://en.wikipedia.org/wiki/Nizami_Street,True,,street
Q4273786,Mausoleum of Seyid Yahya Bakuvi,40.365981,49.833459,Point(49.833459 40.365981),10,monument,mausoleum,,,,,,,,,,,Bakuvi mavzoley.JPG,"mausoleum and historic site in Baku, Azerbaijan",Mausoleum of Seyid Yahya Bakuvi,https://en.wikipedia.org/wiki/Mausoleum_of_Seyid_Yahya_Bakuvi,True,,poi
Q12842450,St. Nicholas Church,40.368455596,49.836159127,Point(49.836159127 40.368455596),10,building,church building,1857-01-01T00:00:00Z,,,,,,,,Saint Nicholas,,St Nicolas church in Baku.png,church in Baku,"St. Nicholas Church, Baku","https://en.wikipedia.org/wiki/St._Nicholas_Church,_Baku",True,,poi
Q4176220,Yerevan state Azerbaijan dramatic theater,40.4374,49.847,Point(49.847 40.4374),10,building,theatre building,1928-01-01T00:00:00Z,,,,,,,,,,Azerbaijani theatre of Yerevan in 1937.jpg,,Yerevan state Azerbaijan dramatic theater,https://en.wikipedia.org/wiki/Yerevan_state_Azerbaijan_dramatic_theater,True,,poi
Q2078074,Heydar Aliyev Palace,40.3775,49.841389,Point(49.841389 40.3775),10,building,concert hall,1972-12-14T00:00:00Z,1972-12-14T00:00:00Z,,Art Nouveau architecture,Alish Lemberanskiy,,,,"Heydar Aliyev, Vladimir Lenin",,,concert hall in Baku,Heydar Aliyev Palace,https://en.wikipedia.org/wiki/Heydar_Aliyev_Palace,True,,poi
Q2879959,Haji Gayib’s bathhouse,40.366309,49.836614,Point(49.836614 40.366309),10,building,hammam,1500-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Hacı Bani hamamı 2016.jpg,"bath and historical architectural monument located in Baku, Azerbaijan",Haji Gayib bathhouse,https://en.wikipedia.org/wiki/Haji_Gayib_bathhouse,True,,poi
Q13668692,Khojaly Genocide Memorial,40.382991,49.873932,Point(49.873932 40.382991),10,monument,monument,2008-02-06T00:00:00Z,,8.6,,,,,"bronze, granite",,,,monument,Khojaly Massacre Memorial (Baku),https://en.wikipedia.org/wiki/Khojaly_Massacre_Memorial_(Baku),True,,poi
