Wikidata_ID,Name,Latitude,Longitude,WKT,Sitelinks,Primary_Class,All_Types,inception,official_opening,height_m,architectural_style,architect,founded_by,creator,material_used,named_after,heritage_designation,image,description,enwiki_title,enwiki_url,core_zone,coord_group,type_tag
Q13668716,Dakar meydanı,40.41,49.943333333,Point(49.943333333 40.41),5,square,square,,,,,,,,,,,Neftciler- Dakar most 2 night - panoramio.jpg,,,,False,,poi
Q29965119,Asef Zeynali street,40.365113888,49.835576944,Point(49.835576944 40.365113888),5,architectural structure,street,,,,,,,,,,,Old and new Baku.JPG,"street in Baku, Azerbaijan",,,True,,street
Q29934120,Boyuk Gala Street,40.36679,49.836178,Point(49.836178 40.36679),5,architectural structure,street,,,,,,,,,,,Baku BoyukQalaStreet6&15 004 7461.jpg,"street in Baku, Azerbaijan",,,True,,street
Q4819227,MOIK Stadium,40.36027778,49.81972222,Point(49.81972222 40.36027778),5,building,stadium,,,,,,,,,,,,"stadium in Baku, Azerbaijan",MOIK Stadium,https://en.wikipedia.org/wiki/MOIK_Stadium,True,,poi
Q60231854,Haji Abu Salam bath,40.561507901,49.890893153,Point(49.890893153 40.561507901),5,building,hammam,1901-01-01T00:00:00Z,,,hammam,,,,,,cultural heritage monument in Azerbaijan,Haji Abu Salam bath 8.jpg,"building in Sabunchu district, Azerbaijan",Haji Abu-Salam Bath,https://en.wikipedia.org/wiki/Haji_Abu-Salam_Bath,False,,poi
Q55700594,Shah Safi caravanserai,40.458722827,49.92241757,Point(49.92241757 40.458722827),5,building,caravanserai,1700-01-01T00:00:00Z,,,"Safavid architecture, Shirvan-Absheron architectural school",,Safi of Persia,,,,cultural heritage monument in Azerbaijan,Şah Səfi karvansarası (2).jpg,"caravanserai in Balaxanı, Azerbaijan",Shah Sefi's Caravanserai,https://en.wikipedia.org/wiki/Shah_Sefi%27s_Caravanserai,False,,poi
Q25543409,House of Sadykhov brothers,40.364198,49.830749,Point(49.830749 40.364198),5,building,residential building,1912-01-01T00:00:00Z,,,architecture of Azerbaijan,Gavriil Ter-Mikelov,,,,,"architectural heritage monument, cultural heritage monument in Azerbaijan",Sadıqov qardaşlarının evi 2.JPG,"historic building in Baku, Azerbaijan",House of Sadykhov brothers,https://en.wikipedia.org/wiki/House_of_Sadykhov_brothers,True,,poi
Q106410438,"Monument to the ""Guba"" ship sailors",40.494,50.2305,Point(50.2305 40.494),5,monument,monument,1889-01-01T00:00:00Z,,,,,,,,,,Quba gəmisinin dənizçilərinə qoyulmuş abidə (6).jpg,"historic site in Baku, Azerbaijan","Monument to the ""Guba"" ship sailors",https://en.wikipedia.org/wiki/Monument_to_the_%22Guba%22_ship_sailors,False,,poi
Q21635821,Monument to Richard Sorge,40.390715879,49.837194809,Point(49.837194809 40.390715879),5,monument,monument,1981-05-01T00:00:00Z,,,,"Leonid Pavlov, Rasim Aliyev, Vladimir Yefimovich Tsigal",,,"brass, bronze, granite",,,Rixard Zorgenin abidəsi (1).jpg,"monument in Baku, Azerbaijan",Monument to Richard Sorge,https://en.wikipedia.org/wiki/Monument_to_Richard_Sorge,True,,poi
Q18407356,Monument to Tofiq Bahramov,40.398362,49.853954,Point(49.853954 40.398362),5,monument,monument,2004-10-13T00:00:00Z,,,,,,,,,,,Monument in Azerbaijan,Monument to Tofiq Bahramov,https://en.wikipedia.org/wiki/Monument_to_Tofiq_Bahramov,True,,poi
Q16368673,Heydər Əliyevin heykəli,40.378373,49.844015,Point(49.844015 40.378373),5,monument,monument,2005-05-10T00:00:00Z,,5.2,,,,Salavat Chtcherbakov,"brass, bronze, granite",,,,monument in Azerbaijan,,,True,,poi
Q12841772,Mehdi Huseynzade Monument,40.387247,49.826589,Point(49.826589 40.387247),5,monument,monument,1973-01-01T00:00:00Z,,,,Mikayil Useynov,,Fuad Abdurahmanov,"bronze, granite",,cultural heritage monument in Azerbaijan,Mehdi Hüseynzadənin heykəli (1).jpg,Azerbaijani World War II monument,Mehdi Huseynzade Monument,https://en.wikipedia.org/wiki/Mehdi_Huseynzade_Monument,True,,poi
Q12837953,Statue of Bahram Gur,40.360421,49.833638,Point(49.833638 40.360421),5,monument,monument,1959-01-01T00:00:00Z,,4.6,,,,,bronze,,cultural heritage monument in Azerbaijan,4. Bakhram Gur.jpg,"monument in Baku, Azerbaijan",,,True,,poi
Q12138418,Monument to Taras Shevchenko (Baku),40.389623,49.842328,Point(49.842328 40.389623),5,monument,monument,2008-06-30T00:00:00Z,,3.5,,,,,"brass, bronze",,,,monument,Monument to Taras Shevchenko (Baku),https://en.wikipedia.org/wiki/Monument_to_Taras_Shevchenko_(Baku),True,,poi
Q24692130,Church of the Blessed Virgin Mary's Immaculate Conception,40.372238,49.847227,Point(49.847227 40.372238),5,building,"Catholic church building, destroyed building or structure",,,,Gothic Revival,"Józef Pius Dziekoński, Józef Plośko",,,,,,Church of the Blessed Virgin Mary's Immaculate Conception 3.jpg,"former Roman Catholic Church in Baku, Azerbaijan","Church of the Immaculate Conception, Baku (1912)","https://en.wikipedia.org/wiki/Church_of_the_Immaculate_Conception,_Baku_(1912)",True,,poi
Q4345043,Parachute tower in Baku,40.36859,49.843994,Point(49.843994 40.36859),5,building,parachute tower,,,,,,,,,,,Baku ParachuteTower 004 2041.jpg,tower in baku (Azerbaijan),Parachute tower in Baku,https://en.wikipedia.org/wiki/Parachute_tower_in_Baku,True,,poi
Q97222958,Mitrofanov Residence,40.368333333,49.829166666,Point(49.829166666 40.368333333),5,building,mansion,1898-01-01T00:00:00Z,,,French Renaissance,Johann Edel,,,,,cultural heritage monument in Azerbaijan,"Yaşayış binası, Səid Rüstəmov 3.jpg","mansion in Baku, Azerbaijan",Mitrofanov Residence,https://en.wikipedia.org/wiki/Mitrofanov_Residence,True,,poi
