place_id,name,category,lat,lng,opening_hours,address,business_status,fetched_at,coverage
ChIJrwACZFJ9MEAR9AI9Q1rlkss,Elf Studio,shopping_mall,40.4077956,49.8711869,,"Metro, Studio, 38 Faiq Yusifov, Elf, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJm07kcACJMEARqt7_GDA0P90,Ehmed recebli,shopping_mall,40.426475100000005,49.8903344,,"CVGR+H4, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJN50yPx6IMEARf6jBULrBDFo,Universal-Lift,shopping_mall,40.422503999999996,49.882402,,"40°25'21.0""N 49°52'56., 6th, Sumgayit, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJjyw-ZACJMEARM7yBGM7fS2E,Tok grop dizayın isdilik sistemi,shopping_mall,40.4255746,49.8788358,,"67a Ziya Bunyadov, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJAUIGagB9MEARhrrRETjPa_g,Anarin Adamın mekani,tourist_attraction,40.4049316,49.874496199999996,,"127 Fətəli Xan Xoyski, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ05jksOSHMEARcLqu1s6mIFw,Biləcəri Meydanı,tourist_attraction,40.432116,49.8049025,,"CRJ3+RXR, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJGWh6r6WHMEAR-rg-AOwLqVQ,Biləcəri tort ləvazimatları,shopping_mall,40.431272,49.809911199999995,,"5 Natavan Street, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJcyW1R7mHMEARWhJXhcDLTS8,Al Market 3598,shopping_mall,40.437516099999996,49.8051842,,"CRQ4+233, Asəf Zeynallı küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ9x5DV82HMEARDD2GgpP3JqE,MEHRIBAN Market,shopping_mall,40.4322983,49.8152881,,"76 Yəhya Hüseynov, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ8Z4-nfmHMEARp1r92JxcIsU,Mebel aksesuarlari,shopping_mall,40.4385014,49.805103499999994,,"CRQ4+C25 nicat hamamın, yaxinliqi, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJk4PRFwCHMEARCyt1_Dk0c2A,Məhəmməd Xəlilli küçəsi,tourist_attraction,40.4363081,49.806186999999994,,"CRP4+GFF, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJc9xPY1KHMEARaFJkZbQf9fE,Dam örtükləri,shopping_mall,40.4385014,49.805103499999994,,"CRQ4+C25 EuroHome Bileceri, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJY0B69rKHMEARWx-Y-2m_QsI,Isuzu&Daewoo Bus Ehtiyat Hisseleri Satis Magazasi,shopping_mall,40.4231015,49.7973588,,"Bakı şəhəri Bineqedi ray .Biləci enişiəri enişi, R.ismayılov, Bakı 1117, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
